STATE OF DISPLACEMET,STATE CODE,LOCALITY OF DISPLACEMENT,LOCALITY CODE,IDPs,HHs,Aj Jazirah,Central Darfur,East Darfur,Khartoum,North Darfur,North Kordofan,Sennar,South Darfur,South Kordofan,West Darfur,West Kordofan,White Nile,  SUDANESE  , NON SUDANESE
Khartoum,SD01,Um Bada,SD01002,7105,1415,25,0,0,7080,0,0,0,0,0,0,0,0,7095,10
Khartoum,SD01,Um Durman,SD01006,7746,1501,0,0,0,7746,0,0,0,0,0,0,0,0,7676,70
North Darfur,SD02,Al Fasher,SD02114,179133,35816,0,0,0,400,160194,0,0,18539,0,0,0,0,179133,0
North Darfur,SD02,Al Koma,SD02116,7170,1434,0,0,0,25,6980,0,0,165,0,0,0,0,7170,0
North Darfur,SD02,Al lait,SD02169,7690,1518,0,25,0,4335,2021,105,0,1024,0,35,145,0,7690,0
North Darfur,SD02,Al Malha,SD02117,6205,1241,65,40,100,255,5240,320,0,185,0,0,0,0,6139,66
North Darfur,SD02,As Serief,SD02118,2310,462,0,335,0,0,1330,0,0,45,0,600,0,0,2310,0
North Darfur,SD02,At Tawisha,SD02119,1835,347,0,0,0,0,1835,0,0,0,0,0,0,0,1835,0
North Darfur,SD02,At Tina,SD02171,570,114,0,0,0,0,570,0,0,0,0,0,0,0,570,0
North Darfur,SD02,Dar As Salam,SD02113,16744,3350,0,0,108,211,8745,0,0,7680,0,0,0,0,16740,4
North Darfur,SD02,Kebkabiya,SD02124,15155,3031,0,2970,0,1520,4150,0,0,1215,0,5300,0,0,15155,0
North Darfur,SD02,Kelemando,SD02126,9940,1976,0,0,0,1225,7280,0,0,1435,0,0,0,0,9940,0
North Darfur,SD02,Kernoi,SD02168,1495,299,0,0,0,15,1205,0,0,105,0,170,0,0,1495,0
North Darfur,SD02,Kutum,SD02128,103980,20796,0,0,0,0,103980,0,0,0,0,0,0,0,103980,0
North Darfur,SD02,Melit,SD02129,32275,6455,0,0,0,0,32110,0,0,165,0,0,0,0,32227,48
North Darfur,SD02,Saraf Omra,SD02133,17345,3469,0,4525,0,850,900,0,0,4285,0,6785,0,0,17345,0
North Darfur,SD02,Tawila,SD02170,92520,18504,0,0,0,0,92270,0,0,250,0,0,0,0,92520,0
North Darfur,SD02,Um Baru,SD02120,1105,221,0,45,0,65,810,0,0,130,0,55,0,0,1105,0
North Darfur,SD02,Um Kadadah,SD02136,36420,7284,0,0,0,0,36420,0,0,0,0,0,0,0,36420,0
North Kordofan,SD13,AR Rahad,SD13030,34463,6860,25,0,0,28025,0,5453,0,0,960,0,0,0,34445,18
North Kordofan,SD13,Bara,SD13026,32231,6461,1648,0,0,28458,0,1290,235,0,600,0,0,0,32231,0
North Kordofan,SD13,Gebrat Al Sheikh,SD13027,6741,1352,0,0,0,6741,0,0,0,0,0,0,0,0,6741,0
North Kordofan,SD13,Gharb Bara,SD13029,8065,1546,0,0,0,6253,0,1812,0,0,0,0,0,0,8065,0
North Kordofan,SD13,Sheikan,SD13024,21607,4235,0,0,0,8999,0,10018,0,0,2100,0,365,125,21299,308
North Kordofan,SD13,Soudari,SD13025,2438,441,0,0,0,2438,0,0,0,0,0,0,0,0,2438,0
North Kordofan,SD13,Um Dam Haj Ahmed,SD13028,14846,2896,0,0,0,14846,0,0,0,0,0,0,0,0,14846,0
North Kordofan,SD13,Um Rawaba,SD13023,30901,5932,0,0,0,26915,0,3986,0,0,0,0,0,0,30899,2
Northern,SD17,Ad Dabbah,SD17019,64560,12909,361,0,0,64174,0,0,25,0,0,0,0,0,64508,52
Northern,SD17,Al Burgaig,SD17016,51928,10333,2341,0,0,49587,0,0,0,0,0,0,0,0,51904,24
Northern,SD17,Al Golid,SD17018,60602,12252,2820,0,0,57704,0,0,78,0,0,0,0,0,60602,0
Northern,SD17,Delgo,SD17015,40375,8083,1220,0,0,39155,0,0,0,0,0,0,0,0,40375,0
Northern,SD17,Dongola,SD17017,55292,11073,0,0,0,55292,0,0,0,0,0,0,0,0,54637,655
Northern,SD17,Halfa,SD17014,48292,9675,697,0,0,47595,0,0,0,0,0,0,0,0,48292,0
Northern,SD17,Merwoe,SD17020,83611,16285,1931,0,0,81480,0,0,200,0,0,0,0,0,83611,0
Red Sea,SD10,Agig,SD10072,210,42,20,0,0,190,0,0,0,0,0,0,0,0,210,0
Red Sea,SD10,Al Ganab,SD10069,225,45,57,0,0,75,15,25,13,40,0,0,0,0,225,0
Red Sea,SD10,Dordieb,SD10063,1120,222,225,0,0,885,0,0,0,10,0,0,0,0,1097,23
Red Sea,SD10,Hala'ib,SD10066,600,120,105,0,0,465,10,15,0,5,0,0,0,0,600,0
Red Sea,SD10,Haya,SD10070,1195,239,385,0,0,810,0,0,0,0,0,0,0,0,1195,0
Red Sea,SD10,Jubayt Elma'aadin,SD10067,345,69,10,0,0,300,15,10,0,0,10,0,0,0,345,0
Red Sea,SD10,Port Sudan,SD10064,231554,46413,61171,71,0,150758,5031,5138,2196,3058,3065,191,0,875,216703,14851
Red Sea,SD10,Sawakin,SD10068,5147,1030,730,0,0,4280,0,70,37,10,15,5,0,0,4722,425
Red Sea,SD10,Sinkat,SD10071,5996,1197,888,75,0,4333,20,125,10,197,163,185,0,0,5996,0
Red Sea,SD10,Tawkar,SD10065,620,124,40,0,0,565,0,10,0,0,5,0,0,0,620,0
River Nile,SD16,Abu Hamad,SD16008,62839,12657,0,0,0,62732,107,0,0,0,0,0,0,0,62839,0
River Nile,SD16,Ad Damar,SD16011,158704,31786,4663,0,0,154026,0,0,15,0,0,0,0,0,158704,0
River Nile,SD16,Al Buhaira,SD16014,41530,7679,1950,0,0,39580,0,0,0,0,0,0,0,0,41530,0
River Nile,SD16,Al Matama,SD16009,97367,22095,1760,0,0,95607,0,0,0,0,0,0,0,0,97367,0
River Nile,SD16,Atbara,SD16012,163605,32684,5799,0,0,157806,0,0,0,0,0,0,0,0,163605,0
River Nile,SD16,Barbar,SD16013,15611,3178,1007,0,0,14604,0,0,0,0,0,0,0,0,15611,0
River Nile,SD16,Shendi,SD16010,167250,33430,1935,65,0,165175,50,25,0,0,0,0,0,0,167250,0
Sennar,SD14,Abu Hujar,SD14037,48795,9746,4960,0,0,41435,0,0,2400,0,0,0,0,0,48795,0
Sennar,SD14,Ad Dali,SD14039,50412,10073,13632,0,0,34940,0,0,1840,0,0,0,0,0,50412,0
Sennar,SD14,Ad Dinder,SD14040,62261,12447,10282,0,0,50007,0,0,1972,0,0,0,0,0,62261,0
Sennar,SD14,As Suki,SD14041,69485,13897,13590,0,0,52600,0,0,3295,0,0,0,0,0,69485,0
Sennar,SD14,Sennar,SD14038,143336,28072,32336,0,0,84762,0,0,26238,0,0,0,0,0,143336,0
Sennar,SD14,Sharg Sennar,SD14042,60254,12094,10903,0,0,47544,0,0,1807,0,0,0,0,0,60254,0
Sennar,SD14,Sinja,SD14043,61544,12210,18064,0,0,42174,0,0,1306,0,0,0,0,0,61544,0
South Darfur,SD03,Al Radoum,SD03141,2795,559,0,0,0,0,0,0,0,2795,0,0,0,0,2795,0
South Darfur,SD03,Al Wihda,SD03150,10040,2008,0,0,0,0,1365,0,0,8675,0,0,0,0,10040,0
South Darfur,SD03,As Salam - SD,SD03166,10600,2120,0,1025,0,0,0,0,0,9575,0,0,0,0,10600,0
South Darfur,SD03,As Sunta,SD03156,101730,20346,0,2350,0,3525,4705,0,0,89975,0,1175,0,0,101730,0
South Darfur,SD03,Beliel,SD03162,141693,28337,0,0,0,0,0,0,0,141693,0,0,0,0,141693,0
South Darfur,SD03,Buram,SD03161,173450,34690,0,2000,0,9000,5020,0,0,154430,0,3000,0,0,173450,0
South Darfur,SD03,Damso,SD03172,2910,582,0,0,0,0,0,0,0,2910,0,0,0,0,2910,0
South Darfur,SD03,Ed Al Fursan,SD03143,29995,5999,0,2250,0,1625,885,0,0,24985,0,250,0,0,29995,0
South Darfur,SD03,Gereida,SD03153,1925,385,0,0,0,0,0,0,0,1925,0,0,0,0,1925,0
South Darfur,SD03,Kas,SD03144,61200,12240,0,1040,0,0,0,0,0,60160,0,0,0,0,61200,0
South Darfur,SD03,Kateila,SD03159,29360,5872,0,0,0,2500,0,0,0,26860,0,0,0,0,29360,0
South Darfur,SD03,Kubum,SD03157,5375,1075,0,50,0,0,0,0,0,5325,0,0,0,0,5375,0
South Darfur,SD03,Mershing,SD03145,26520,5304,0,0,0,0,375,0,0,26145,0,0,0,0,26520,0
South Darfur,SD03,Nitega,SD03151,6495,1299,0,0,0,0,0,0,0,6495,0,0,0,0,6495,0
South Darfur,SD03,Nyala Janoub,SD03167,77965,15593,0,0,0,0,0,0,0,77790,0,175,0,0,77965,0
South Darfur,SD03,Rehaid Albirdi,SD03158,9875,1975,0,0,0,0,0,0,0,9875,0,0,0,0,9875,0
South Darfur,SD03,Sharg Aj Jabal,SD03147,30545,6110,0,650,0,0,0,0,0,29895,0,0,0,0,30545,0
South Darfur,SD03,Tulus,SD03149,19625,3925,0,0,0,0,0,0,0,19625,0,0,0,0,19625,0
South Darfur,SD03,Um Dafoug,SD03146,2725,545,0,0,0,0,0,0,0,2725,0,0,0,0,2725,0
South Kordofan,SD07,Abassiya,SD07090,17098,3232,1805,0,0,14668,0,200,0,0,425,0,0,0,17027,71
South Kordofan,SD07,Abu Jubayhah,SD07088,18472,3643,790,0,0,13214,0,3330,105,0,1033,0,0,0,17928,544
South Kordofan,SD07,Abu Kershola,SD07104,7279,1398,0,0,0,6288,0,255,0,0,736,0,0,0,7279,0
South Kordofan,SD07,Al Leri,SD07105,1919,364,5,0,0,1798,0,81,0,0,35,0,0,0,1919,0
South Kordofan,SD07,Al Quoz,SD07094,5397,1056,0,0,0,1804,0,30,0,0,3563,0,0,0,5270,127
South Kordofan,SD07,Ar Rashad,SD07093,5779,1161,260,0,0,3850,0,227,0,0,1347,0,20,75,5779,0
South Kordofan,SD07,Ar Reif Ash Shargi,SD07097,28675,5735,0,0,0,0,0,0,0,0,28675,0,0,0,28675,0
South Kordofan,SD07,At Tadamon - SK,SD07106,1216,219,15,0,0,1137,0,5,0,0,0,0,0,59,1216,0
South Kordofan,SD07,Delami,SD07107,1420,284,0,0,0,1420,0,0,0,0,0,0,0,0,1420,0
South Kordofan,SD07,Dilling,SD07095,13970,2934,0,0,0,8045,0,5,0,0,5920,0,0,0,13970,0
South Kordofan,SD07,Ghadeer,SD07108,1900,380,0,0,0,1900,0,0,0,0,0,0,0,0,1900,0
South Kordofan,SD07,Habila - SK,SD07103,56626,11319,0,0,0,2484,0,697,0,0,53445,0,0,0,56626,0
South Kordofan,SD07,Kadugli,SD07098,12719,2383,0,0,0,6625,0,295,0,0,5779,0,10,10,12719,0
South Kordofan,SD07,Talawdi,SD07089,2013,402,0,0,0,2013,0,0,0,0,0,0,0,0,2013,0
West Darfur,SD04,Ag Geneina,SD04115,30995,6199,0,900,1500,1425,0,0,0,6315,0,20855,0,0,30995,0
West Darfur,SD04,Beida,SD04111,955,191,0,5,0,0,0,0,0,195,0,755,0,0,955,0
West Darfur,SD04,Foro Baranga,SD04121,6425,1285,0,2615,185,755,0,0,0,885,0,1985,0,0,6425,0
West Darfur,SD04,Habila - WD,SD04122,13435,2687,0,0,0,0,0,0,0,0,0,13435,0,0,13435,0
West Darfur,SD04,Jebel Moon,SD04123,41645,8329,0,0,0,434,311,0,0,0,0,40900,0,0,41645,0
West Darfur,SD04,Kereneik,SD04125,10920,2184,0,0,0,0,0,0,0,0,0,10920,0,0,10920,0
West Darfur,SD04,Kulbus,SD04127,41195,8239,0,0,0,0,0,0,0,1030,0,40165,0,0,41195,0
West Darfur,SD04,Sirba,SD04134,26225,5245,0,0,0,0,0,0,0,0,0,26225,0,0,26225,0
West Kordofan,SD18,Abu Zabad,SD18028,9764,1933,0,0,0,7835,25,1904,0,0,0,0,0,0,9764,0
West Kordofan,SD18,Abyei,SD18087,4291,835,0,0,0,3581,0,0,0,100,0,0,610,0,4291,0
West Kordofan,SD18,Al Dibab,SD18103,16030,3206,0,0,0,7105,0,0,0,0,0,0,8925,0,16030,0
West Kordofan,SD18,Al Idia,SD18104,20401,3863,0,0,0,5731,0,355,0,60,0,0,14255,0,20401,0
West Kordofan,SD18,Al Khiwai,SD18105,6399,1267,0,0,0,517,0,5882,0,0,0,0,0,0,6399,0
West Kordofan,SD18,Al Lagowa,SD18102,5970,999,0,0,0,1139,0,376,0,0,4455,0,0,0,5970,0
West Kordofan,SD18,Al Meiram,SD18106,4245,849,0,0,0,2795,0,5,0,0,5,0,1440,0,4245,0
West Kordofan,SD18,An Nuhud,SD18022,17041,3363,0,0,0,15754,8,548,0,0,6,0,725,0,17041,0
West Kordofan,SD18,As Salam - WK,SD18086,13328,2729,0,0,0,6823,0,35,0,0,145,0,6325,0,13328,0
West Kordofan,SD18,As Sunut,SD18092,2394,485,0,0,5,1368,0,156,0,0,0,0,865,0,2394,0
West Kordofan,SD18,Babanusa,SD18100,24629,4926,0,0,0,149,0,0,0,0,0,0,24480,0,24629,0
West Kordofan,SD18,Ghubaish,SD18021,7117,1499,0,0,0,4774,71,987,0,90,0,0,1195,0,7117,0
West Kordofan,SD18,Keilak,SD18085,1752,336,0,0,0,165,0,160,0,0,912,0,515,0,1752,0
West Kordofan,SD18,Wad Bandah,SD18029,4735,880,0,0,0,3634,741,191,0,0,0,0,169,0,4735,0
White Nile,SD09,Ad Diwaim,SD09044,86596,17507,470,0,0,86126,0,0,0,0,0,0,0,0,86541,55
White Nile,SD09,Aj Jabalain,SD09051,103148,20609,7164,0,0,95252,0,220,0,0,0,0,0,512,54683,48465
White Nile,SD09,Al Gitaina,SD09050,15919,3166,140,0,0,15460,0,0,0,0,0,0,0,319,15919,0
White Nile,SD09,As Salam / Ar Rawat,SD09049,46586,9312,102,0,0,46435,0,0,0,0,0,0,0,49,5636,40950
White Nile,SD09,Guli,SD09052,34232,6620,2219,0,0,28256,0,49,55,0,0,0,0,3653,34232,0
White Nile,SD09,Kosti,SD09047,120218,23916,29770,0,0,90448,0,0,0,0,0,0,0,0,119850,368
White Nile,SD09,Rabak,SD09046,87883,17554,9552,0,0,78324,0,0,0,0,0,0,0,7,87883,0
White Nile,SD09,Tendalti,SD09048,17483,3473,0,0,0,17483,0,0,0,0,0,0,0,0,17483,0
White Nile,SD09,Um Rimta,SD09045,13670,2726,1448,0,0,10018,0,0,0,0,0,0,0,2204,13670,0
 Grand Total ,,,," 6,552,118 "," 1,308,617 "," 555,582 "," 292,321 "," 77,233 "," 3,563,069 "," 574,091 "," 48,690 "," 42,422 "," 978,966 "," 114,044 "," 234,816 "," 61,729 "," 9,155 "," 6,432,927 "," 119,191 "
